id,Exercise,Cardio_Intensity,Trapezius,Shoulders,Biceps,Triceps,Forearm,Latissimus_dorsi,Chest,Abs,Glutes,Quadriceps,Calves,Reps,Last_review
1,Biceps Curl:,0,0,0,3,0,2,0,0,0,0,0,0,5,2023-12-27
2,Hammer Curl:,0,0,0,3,0,3,0,0,0,0,0,0,5,2023-12-27
3,Incline dumbell curl:,0,0,0,3,0,1,0,0,0,0,0,0,5,2023-12-27
4,Preacher curl:,0,0,0,3,0,3,0,0,0,0,0,0,5,2023-12-27
5,Barbell curl:,0,0,0,3,0,2,0,0,0,0,0,0,5,2023-12-27
6,Triceps rope push-down:,0,0,0,0,3,0,0,0,0,0,0,0,5,2023-12-27
7,Overhead Triceps Extension,0,1,0,0,3,0,0,0,0,0,0,0,5,2023-12-27
8,Lying triceps extension,0,0,0,0,3,0,0,0,0,0,0,0,5,2023-12-27
9,Wrist curls,0,0,0,0,0,3,0,0,0,0,0,0,5,2023-12-27
10,Cable lateral raise,0,0,3,0,0,0,0,0,1,0,0,0,5,2023-12-27
11,Overhead press,0,0,3,0,2,0,0,0,0,0,0,0,5,2023-12-27
12,Arnold press,0,0,3,0,1,0,0,0,0,0,0,0,5,2023-12-27
13,Side lateral raise,0,0,3,0,0,0,0,0,0,0,0,0,5,2023-12-27
14,Front raise,0,0,3,0,0,0,0,0,0,0,0,0,5,2023-12-27
15,Reverse fly,0,1,3,0,0,0,0,0,0,0,0,0,5,2023-12-27
16,Upright row,0,1,3,0,0,0,0,0,0,0,0,0,5,2023-12-27
17,dumbbell shrug,0,3,0,0,0,0,0,0,0,0,0,0,5,2023-12-27
18,barbell shrug,0,3,0,0,0,0,3,0,0,0,0,0,5,2023-12-27
19,bent-over row,0,3,1,1,1,0,3,0,0,0,0,0,5,2023-12-27
20,One-arm dumbbell row,0,0,0,0,0,0,3,1,0,0,0,0,5,2023-12-27
21,Deadlift,0,1,1,0,0,1,2,0,1,3,2,0,5,2023-12-27
22,Seated cable rows,0,3,0,0,1,0,3,0,0,0,0,0,5,2023-12-27
23,lat pull down,0,0,1,1,0,0,3,0,0,0,0,0,5,2023-12-27
24,Bench press,0,0,0,0,0,0,0,3,0,0,0,0,5,2023-12-27
25,Cable crossover,0,0,1,0,0,0,0,3,0,0,0,0,5,2023-12-27
26,Dumbbell Flyes,0,0,1,0,0,0,0,3,0,0,0,0,5,2023-12-27
27,Dumbbell bench press,0,2,1,0,1,0,0,3,0,0,0,0,5,2023-12-27
28,leg extension,0,0,0,0,0,0,0,0,0,0,3,0,5,2023-12-27
29,Barbell Squat,0,0,0,0,0,0,0,0,1,3,3,2,5,2023-12-27
30,Walking lunges,0,0,0,0,0,0,0,0,0,3,3,1,5,2023-12-27
31,Leg press,0,0,0,0,0,0,0,0,0,2,3,2,5,2023-12-27
32,leg calf raise,0,0,0,0,0,0,0,0,0,1,0,3,5,2023-12-27
33,hamstring curls,0,0,0,0,0,0,0,0,0,0,3,2,5,2023-12-27
34,Pull up,0,0,0,2,0,1,3,0,1,0,0,0,5,2023-12-27
35,Chin up,0,0,0,3,0,1,2,0,1,0,0,0,5,2023-12-27
36,Dips,0,0,0,0,3,0,0,2,0,0,0,0,5,2023-12-27
37,Reverse dips,0,0,0,0,3,0,0,1,0,0,0,0,5,2023-12-27
38,Hanging leg raises,0,0,0,0,0,0,0,0,3,0,0,0,5,2023-12-27
39,Plank,0,0,0,0,0,0,0,0,3,0,1,0,5,2023-12-27
40,Lateral Plank,0,0,0,0,0,0,0,0,3,0,1,0,5,2023-12-27
41,Bicycle Crunch,0,0,0,0,0,0,0,0,3,0,0,0,5,2023-12-27
42,Crunch,0,0,0,0,0,0,0,0,3,0,0,0,5,2023-12-27
43,leg raises,0,0,0,0,0,0,0,0,3,0,0,0,5,2023-12-27
44,Closed push-up,0,0,0,1,3,0,0,1,0,0,0,0,5,2023-12-27
45,Push up,0,0,0,3,1,0,0,2,0,0,0,0,5,2023-12-27
46,Wide Push-up,0,0,0,2,0,0,0,3,0,0,0,0,5,2023-12-27
47,Jump Squat,3,0,0,0,0,0,0,0,0,0,2,0,5,2023-12-27
48,Battle Rope,3,0,1,1,0,0,2,0,0,0,0,0,5,2023-12-27
49,Running,2,0,0,0,0,0,0,0,0,1,1,1,20,2023-12-27
50,Skipping Rope,3,0,0,0,0,0,0,0,0,0,0,1,20,2023-12-27
51,Battle Rope,3,0,1,1,0,0,2,0,0,0,0,0,20,2023-12-27
52,Stairs,2,0,0,0,0,0,0,0,0,1,1,0,20,2023-12-27
53,Cycling,2,0,0,0,0,0,0,0,0,0,2,1,20,2023-12-27
54,Rowing,3,0,0,1,0,0,1,0,0,0,0,0,20,2023-12-27
55,Elliptical Cross,2,0,0,0,0,0,0,0,0,2,0,1,20,2023-12-27
